Fit,Battery,Build Quality,Connectivity,Sound,Issue,Bad,Best,Good,Worth it
1,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0
0,1,1,0,0,0,0,0,1,0
1,0,1,0,1,1,0,1,0,0
0,1,0,0,1,0,0,1,1,0
1,0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,1,0,1
1,0,1,0,1,0,0,1,0,0
1,1,1,0,1,0,0,1,1,1
0,0,0,1,1,0,0,1,0,0
1,1,0,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1
0,0,1,0,1,0,0,1,0,0
1,0,0,0,1,0,0,1,1,0
0,0,1,0,1,0,0,1,0,0
0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,0,1,0,1
0,1,0,0,1,0,0,1,1,0
0,1,0,0,1,0,0,1,1,1
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0
0,0,1,0,1,0,1,1,0,0
1,1,0,0,1,1,0,0,1,0
0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,1
0,0,1,0,0,1,1,0,0,0
0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,1
0,0,1,0,0,1,1,0,0,0
0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0
0,1,0,0,1,0,1,0,1,0
0,0,1,0,1,0,1,0,1,0
1,1,1,1,1,0,0,1,0,0
